Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,ModelCacheImpl,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractHTLMap
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,RequireAemCanaryImpl,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: downloadService
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,RequireAemCanaryImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
asset-share-commons,com.adobe.aem.commons.assetshare.util,ComponentModelVisitor,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ResourceTypeVisitor
asset-share-commons,com.adobe.aem.commons.assetshare.util,ForcedInheritanceValueMapWrapper,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
asset-share-commons,com.adobe.aem.commons.assetshare.util,RequireAem.Distribution,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: value
asset-share-commons,com.adobe.aem.commons.assetshare.util,RequireAem.Distribution,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
asset-share-commons,com.adobe.aem.commons.assetshare.util,RequireAem.ServiceType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: value
asset-share-commons,com.adobe.aem.commons.assetshare.util,RequireAem.ServiceType,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
asset-share-commons,com.adobe.aem.commons.assetshare.util,EmailService,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: SENDER_EMAIL_ADDRESS; SENDER_NAME; SUBJECT; REPLY_TO
asset-share-commons,com.adobe.aem.commons.assetshare.util.assetkit.impl.datasources,ComponentUpdatersDataSourceTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ctx; servlet
asset-share-commons,com.adobe.aem.commons.assetshare.util.assetkit.impl.datasources,PagePathGeneratorsDataSource,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
asset-share-commons,com.adobe.aem.commons.assetshare.util.assetkit.impl,AssetKitHelperImplTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ctx; queryBuilder; modelFactory; assetKitHelper
asset-share-commons,com.adobe.aem.commons.assetshare.util.assetkit.impl,AssetKitHelperImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
asset-share-commons,com.adobe.aem.commons.assetshare.util.assetkit.impl.componentupdaters,PageMetadataComponentUpdaterImplTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ctx; queryBuilder; modelFactory
asset-share-commons,com.adobe.aem.commons.assetshare.util.assetkit.impl.componentupdaters,BannerComponentUpdaterImplTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ctx; queryBuilder; modelFactory
asset-share-commons,com.adobe.aem.commons.assetshare.util.assetkit.impl.componentupdaters,AssetKitComponentUpdaterImplTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ctx; queryBuilder; query; searchResult; modelFactory; path
asset-share-commons,com.adobe.aem.commons.assetshare.util.assetkit.impl.componentupdaters,AssetKitComponentUpdaterImplTest.MockHit,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: path
asset-share-commons,com.adobe.aem.commons.assetshare.util.assetkit.impl.componentupdaters,AssetKitComponentUpdaterImplTest.MockHit,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
asset-share-commons,com.adobe.aem.commons.assetshare.util.assetkit.impl.componentupdaters,BannerComponentUpdaterImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
