Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl,ConfigImpl,isLicenseEnabled,3,1,0,256,0,com.adobe.aem.commons.assetshare.configuration.impl.ConfigImpl,com.adobe.aem.commons.assetshare.configuration.impl.ConfigImpl
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl,ConfigImpl,getAssetDetailsSelector,3,1,0,262,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl,ConfigImpl,getAssetDetailReferenceById,3,1,0,267,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl,ConfigImpl,getAssetDetailsPath,3,1,0,272,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl,ConfigImpl,getAssetDetailsUrl,3,1,0,277,0,com.adobe.aem.commons.assetshare.configuration.impl.ConfigImpl,com.adobe.aem.commons.assetshare.configuration.impl.ConfigImpl
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl,ConfigImpl,getRootPath,3,1,0,282,0,com.adobe.aem.commons.assetshare.configuration.impl.ConfigImpl,com.adobe.aem.commons.assetshare.configuration.impl.ConfigImpl
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl,ConfigImpl,isContextHubEnabled,11,3,0,287,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl,ConfigImpl,isAemClassic,3,1,0,303,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl,ConfigImpl,pathResolves,4,1,1,308,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl,ConfigImpl,getRootPath,24,7,1,313,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl,ConfigImpl,ActionEnablements,3,1,1,354,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.configuration.impl,ConfigImpl,forValue,8,3,1,358,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,ServletHelperImplTest,setUp,3,1,0,18,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,ServletHelperImplTest,addSlingBindings,10,1,0,24,1,,
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,OakIndexResolverTest,setUp,3,1,0,16,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,OakIndexResolverTest,resolveRankingOakIndex,3,1,0,21,1,,
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,RequireAemImplTest,setUpAsCloudReady,5,1,0,41,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,RequireAemImplTest,setUpAsNotCloudReady,3,1,0,49,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,RequireAemImplTest,isCloudReady_True,5,1,0,53,1,,
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,RequireAemImplTest,isCloudReady_False,5,1,0,62,1,,
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,RequireAemImplTest,referenceFilter_CloudReady_True_Satisfied,6,1,0,71,1,,
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,RequireAemImplTest,referenceFilter_CloudReady_True_Unsatisfied,5,1,0,81,1,,
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,RequireAemImplTest,referenceFilter_CloudReady_False_Satisfied,6,1,0,90,1,,
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,RequireAemImplTest,referenceFilter_CloudReady_False_Unsatisfied,5,1,0,100,1,,
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,ExpressionEvaluatorImplTest,setUp,8,1,0,26,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,ExpressionEvaluatorImplTest,evaluateProperties,7,1,0,41,1,,
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,JsonResolverImplTest,setUp,7,1,0,37,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,JsonResolverImplTest,resolveDamAsset,6,1,0,54,1,,
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,JsonResolverImplTest,resolveExternalInclude,6,1,0,64,1,,
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,JsonResolverImplTest,resolveInternalInclude,6,1,0,76,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,ServletHelperImpl,addSlingBindings,12,1,2,39,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,ServletHelperImpl,activate,3,1,1,55,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,RequireAemImpl,getDistribution,8,2,0,86,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,RequireAemImpl,getServiceType,8,2,0,95,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,RequireAemImpl,activate,16,3,2,104,0,com.adobe.aem.commons.assetshare.util.impl.RequireAemImpl,com.adobe.aem.commons.assetshare.util.impl.RequireAemImpl
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,RequireAemImpl,isCloudService,3,1,0,128,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,RequireAemImpl,deactivate,6,2,0,132,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,JsonResolverImpl,resolveJson,34,6,3,59,0,com.adobe.aem.commons.assetshare.util.impl.JsonResolverImpl,com.adobe.aem.commons.assetshare.util.impl.JsonResolverImpl
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,JsonResolverImpl,getJsonFromNtFile,9,2,1,94,0,com.adobe.aem.commons.assetshare.util.impl.JsonResolverImpl,com.adobe.aem.commons.assetshare.util.impl.JsonResolverImpl
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,JsonResolverImpl,getJsonStringFromDamAsset,9,2,1,103,0,com.adobe.aem.commons.assetshare.util.impl.JsonResolverImpl,com.adobe.aem.commons.assetshare.util.impl.JsonResolverImpl
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,JsonResolverImpl,getJsonAsInternalRequest,25,4,3,113,0,com.adobe.aem.commons.assetshare.util.impl.JsonResolverImpl,com.adobe.aem.commons.assetshare.util.impl.JsonResolverImpl
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,JsonResolverImpl,getJsonFromExternalUrl,21,3,1,145,0,com.adobe.aem.commons.assetshare.util.impl.JsonResolverImpl,com.adobe.aem.commons.assetshare.util.impl.JsonResolverImpl
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,JsonResolverImpl,getJsonElement,4,1,1,169,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,MimeTypeHelperImpl,isBrowserSupportedImage,6,1,1,19,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,MimeTypeHelperImpl,activate,3,1,1,25,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,EmailServiceImpl,sendEmail,21,4,3,104,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,EmailServiceImpl,sendEmail,23,4,3,133,0,com.adobe.aem.commons.assetshare.util.impl.EmailServiceImpl,com.adobe.aem.commons.assetshare.util.impl.EmailServiceImpl
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,EmailServiceImpl,sendEmail,34,7,4,164,0,com.adobe.aem.commons.assetshare.util.impl.EmailServiceImpl,com.adobe.aem.commons.assetshare.util.impl.EmailServiceImpl
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,EmailServiceImpl,sendEmail,21,4,4,206,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,EmailServiceImpl,getEmail,22,7,3,233,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,EmailServiceImpl,getMailType,3,1,1,269,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,EmailServiceImpl,getMailTemplate,23,4,1,273,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,EmailServiceImpl,activate,3,1,1,299,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,OakIndexResolver,OakIndexResolver,2,1,0,24,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,OakIndexResolver,resolveRankingOakIndex,26,5,2,28,0,,
asset-share-commons,com.adobe.aem.commons.assetshare.util.impl,OakIndexResolver,getOakIndexVersion,12,2,2,61,0,,
